epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,1.1372194470044645,,,,,0.0001,7.342596054077148
1,val,0.9769649049069019,4.1633234191797925e-05,8.310191352112657e-05,79.70861250927558,0.0012957949316451652,0.0001,10.950607299804688
2,train,0.8524906942544909,,,,,9.996145181203615e-05,6.96945595741272
2,val,0.8215292941593955,0.01869764202683985,0.03374401917249924,49.995313900159005,0.024627893533484064,9.996145181203615e-05,10.261675357818604
3,train,0.795792959448175,,,,,9.98458666866564e-05,6.842211723327637
3,val,0.836279568942726,0.06318771206170545,0.10046233809525423,58.702992832991676,0.06284185281720643,9.98458666866564e-05,10.093514442443848
4,train,0.7632744374516348,,,,,9.965342284774632e-05,6.83801531791687
4,val,0.750836765512507,0.15863926774181827,0.2319119305179299,42.68515072434695,0.17770712960013246,9.965342284774632e-05,10.072421073913574
5,train,0.7240260337733133,,,,,9.938441702975689e-05,6.778932809829712
5,val,0.7030321025679297,0.2065823729867281,0.2879727249427657,36.46002994850138,0.22721442222728935,9.938441702975689e-05,9.933256387710571
6,train,0.6946305503269588,,,,,9.903926402016153e-05,6.8654890060424805
6,val,0.6751133748825561,0.2418224099609587,0.3466174915019009,35.90973749993029,0.29207107536185706,9.903926402016153e-05,10.071381568908691
7,train,0.6647445885236656,,,,,9.861849601988383e-05,6.499846458435059
7,val,0.6617612356835223,0.26152288479109603,0.3760163692964448,33.17079623529133,0.29428858715866907,9.861849601988383e-05,9.708616733551025
8,train,0.6341367127650325,,,,,9.812276182268236e-05,7.4076597690582275
8,val,0.6281447588129246,0.2643447552173812,0.37089754749710363,30.838066946771296,0.31219672160531897,9.812276182268236e-05,10.622748374938965
9,train,0.6094175378805662,,,,,9.755282581475769e-05,6.792751789093018
9,val,0.6222084392892554,0.272224264840285,0.3871439250393046,30.08731071795327,0.30434957856030126,9.755282581475769e-05,10.001361608505249
10,train,0.5838726757012223,,,,,9.690956679612421e-05,7.23552131652832
10,val,0.594270018398339,0.2806018934481674,0.399331016259061,31.045640704722402,0.3014629721814756,9.690956679612421e-05,10.438839435577393
11,train,0.5628413368399342,,,,,9.619397662556433e-05,7.3379435539245605
11,val,0.5639354303373513,0.2815592530597415,0.37770965022759306,35.00609932706243,0.30859223136965064,9.619397662556433e-05,10.559057235717773
12,train,0.5433637627186239,,,,,9.540715869125406e-05,6.768441438674927
12,val,0.5520013507376326,0.29088565805513,0.4013845999725163,30.213195384644607,0.32223782483417696,9.540715869125406e-05,9.973467111587524
13,train,0.5219618243455498,,,,,9.455032620941839e-05,7.098257064819336
13,val,0.5264801412609452,0.35134621595756876,0.46292313209010494,19.09689942800837,0.3980105161314356,9.455032620941839e-05,10.166264057159424
14,train,0.5011839012920759,,,,,9.362480035363986e-05,7.0003674030303955
14,val,0.5319177309672037,0.2954626564557354,0.4139681388106611,26.253084647428928,0.3377231839671128,9.362480035363986e-05,10.564939260482788
15,train,0.48598171816758967,,,,,9.263200821770461e-05,6.763232469558716
15,val,0.49986235765700643,0.3809446005357636,0.498260379044546,18.4717630929522,0.4351587084892917,9.263200821770461e-05,9.983229875564575
