epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,0.9420700456767929,,,,,0.0001,7.097164154052734
1,val,1.5227365921705196,0.07952427329354188,0.135808667519346,93.46362062555498,0.06578691972699446,0.0001,13.418754816055298
2,train,0.6001229315353666,,,,,9.996145181203615e-05,6.370250225067139
2,val,0.7175080267500965,0.26154000835950075,0.3407592019032074,66.03040853914227,0.17277020797544312,9.996145181203615e-05,9.881373643875122
3,train,0.5029037922966737,,,,,9.98458666866564e-05,6.456691026687622
3,val,0.6715437466408307,0.3133410614249962,0.40670791507831644,41.68611322296515,0.19684104937299207,9.98458666866564e-05,10.195655107498169
4,train,0.4674340339738931,,,,,9.965342284774632e-05,6.62893533706665
4,val,0.7508298507976882,0.3166278068034444,0.4191062012188403,56.277230634859066,0.22149966679096503,9.965342284774632e-05,10.284266948699951
5,train,0.3892808265946991,,,,,9.938441702975689e-05,6.728582859039307
5,val,0.5773615623131777,0.2921209309349284,0.3536853844299296,58.89784383178568,0.19817587485874888,9.938441702975689e-05,9.993751049041748
6,train,0.3526435296729232,,,,,9.903926402016153e-05,6.607303142547607
6,val,0.5533695124881172,0.3610453627031365,0.4494903911529443,52.96030816359575,0.2765889283439315,9.903926402016153e-05,10.092570066452026
7,train,0.3154421711145942,,,,,9.861849601988383e-05,6.352412700653076
7,val,0.4944200004850115,0.4327473574451038,0.5341860513601985,37.9426661498723,0.3188643419203746,9.861849601988383e-05,9.897455215454102
8,train,0.30182084119932767,,,,,9.812276182268236e-05,6.758564472198486
8,val,0.5149653830152728,0.43714699212993896,0.5455490580626896,40.058500699616935,0.3191425533833349,9.812276182268236e-05,10.089475870132446
9,train,0.26398581434442825,,,,,9.755282581475769e-05,6.861548185348511
9,val,0.497875071707226,0.44064091060842786,0.5385854366634574,40.33137808088432,0.33728183737122047,9.755282581475769e-05,10.097528457641602
10,train,0.2494551735879177,,,,,9.690956679612421e-05,6.445099830627441
10,val,0.4794735559177049,0.44177025609782766,0.5403834815536227,48.96221352710514,0.3391882377659844,9.690956679612421e-05,9.842500925064087
11,train,0.22311501805462056,,,,,9.619397662556433e-05,6.177135467529297
11,val,0.4660757120712336,0.4520085830773626,0.552821709215641,42.940827667599436,0.36989317781507763,9.619397662556433e-05,9.919061422348022
12,train,0.19979200530704574,,,,,9.540715869125406e-05,6.667730331420898
12,val,0.46612774823611475,0.47576397258256165,0.5802670379834516,40.144585552047516,0.3772729801125303,9.540715869125406e-05,9.961833715438843
13,train,0.19873725330058614,,,,,9.455032620941839e-05,6.427473306655884
13,val,0.42286519427875896,0.46050328660224166,0.5563064118581159,28.72261974485723,0.375875687793848,9.455032620941839e-05,9.634591579437256
14,train,0.18877327521246662,,,,,9.362480035363986e-05,6.190879583358765
14,val,0.42528656856480973,0.42355739834186223,0.5009054811937469,35.04278929593546,0.322180137503945,9.362480035363986e-05,9.565312623977661
15,train,0.1832374250809747,,,,,9.263200821770461e-05,6.560340404510498
15,val,0.4070955069510491,0.44877535711441724,0.5387167866740908,47.28242117536683,0.3616506332695171,9.263200821770461e-05,10.05304479598999
16,train,0.17596210037693258,,,,,9.157348061512727e-05,6.579909801483154
16,val,0.4036644043284895,0.4554083674081734,0.5478195003100804,36.55451880103842,0.373392083569758,9.157348061512727e-05,10.099817037582397
17,train,0.16250359488166188,,,,,9.045084971874738e-05,6.705794095993042
17,val,0.398058376906119,0.4727453564958913,0.5742090923445565,35.9151497629199,0.3842207398620395,9.045084971874738e-05,9.954478740692139
18,train,0.15329439466074726,,,,,8.926584654403724e-05,6.253516912460327
18,val,0.3763510342482682,0.508943411641355,0.6036861375639481,29.999836292810162,0.4162846054109986,8.926584654403724e-05,9.365808010101318
19,train,0.13314497579587237,,,,,8.802029828000156e-05,6.299953460693359
19,val,0.3851134501970731,0.46070592147963385,0.5493277013301849,33.2993890049206,0.38393744380149997,8.802029828000156e-05,9.632553815841675
20,train,0.13218197483526137,,,,,8.671612547178429e-05,6.7809624671936035
20,val,0.4286296326162178,0.46612302948321616,0.5667386157172066,45.52128893570409,0.396176863942937,8.671612547178429e-05,10.174536228179932
21,train,0.13076052667687385,,,,,8.535533905932738e-05,6.2354607582092285
21,val,0.386832384399442,0.4309499447100929,0.5082456671765873,26.73772627390019,0.35690457493124905,8.535533905932738e-05,9.383231401443481
22,train,0.11940303884730806,,,,,8.39400372766471e-05,6.975082159042358
22,val,0.3785644418154007,0.44985728577843737,0.5322872326310192,36.794190686627786,0.3710962224332782,8.39400372766471e-05,10.39803957939148
23,train,0.1156509500460245,,,,,8.247240241650919e-05,6.559491872787476
23,val,0.38900453529078444,0.4461382663767186,0.5259740543235759,36.065552508913164,0.37562448746775495,8.247240241650919e-05,9.701254606246948
24,train,0.11951419080964368,,,,,8.095469746549169e-05,7.481453895568848
24,val,0.36437362366980247,0.533441769012383,0.6337880287851606,33.59190698157103,0.4616418735558474,8.095469746549169e-05,10.715881109237671
25,train,0.10321825528965266,,,,,7.938926261462365e-05,6.363105535507202
25,val,0.3800149327451056,0.46684961106095996,0.5535681356276785,35.979534282889915,0.39096423560777616,7.938926261462365e-05,9.475504875183105
26,train,0.10106187720302721,,,,,7.77785116509801e-05,7.161503314971924
26,val,0.3690473782273876,0.5139664393184441,0.61381452716887,35.44363187407053,0.44621723291249893,7.77785116509801e-05,10.608631134033203
27,train,0.0979960257338845,,,,,7.612492823579744e-05,6.641615152359009
27,val,0.36925868215141716,0.4926662796310016,0.5883423920188632,35.62695423020101,0.43683250674092944,7.612492823579744e-05,9.910100221633911
28,train,0.09361295318030204,,,,,7.443106207484775e-05,6.670377492904663
28,val,0.34671798796007486,0.5154862188334975,0.6066276922821998,28.807827385173454,0.43574840634148765,7.443106207484775e-05,9.9464271068573
29,train,0.08720921491509054,,,,,7.269952498697733e-05,6.493030309677124
29,val,0.355298176134899,0.4786040543179427,0.5617820987743991,39.192588415252835,0.41343876444549094,7.269952498697733e-05,9.801694631576538
30,train,0.08786438174459274,,,,,7.093298687687139e-05,6.7158098220825195
30,val,0.3731612165768941,0.49915786694203107,0.5945253463728087,45.245303017042716,0.44074653616935183,7.093298687687139e-05,10.11302137374878
31,train,0.08931789938885576,,,,,6.913417161825447e-05,6.626893043518066
