epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,1.1037286615655113,,,,,0.0001,8.107915878295898
1,val,0.9691517594401822,0.07006097976978945,0.11068446533284118,75.4946563527538,0.062029407976049264,0.0001,11.748081922531128
2,train,0.8122841848661074,,,,,9.996145181203615e-05,7.646879196166992
2,val,0.9102407584161115,0.20930600161209884,0.30543591929372493,53.42751550010543,0.11741888420884128,9.996145181203615e-05,11.318366289138794
3,train,0.7326981969078087,,,,,9.98458666866564e-05,7.597434759140015
3,val,0.7359391425284871,0.39496321724807754,0.504879130353452,25.435181073854803,0.3278162766936304,9.98458666866564e-05,11.225840330123901
4,train,0.6709224093722022,,,,,9.965342284774632e-05,7.580199718475342
4,val,0.7251511724448643,0.3257319401054341,0.440721810316271,36.04282211483517,0.2616716421117518,9.965342284774632e-05,11.179545402526855
5,train,0.6355858598386019,,,,,9.938441702975689e-05,7.715840816497803
5,val,0.6742168014034903,0.41537262527583874,0.528784418079667,26.866687180404753,0.3306170563774753,9.938441702975689e-05,11.494505405426025
6,train,0.5972220612493347,,,,,9.903926402016153e-05,7.618342161178589
6,val,0.6188817086395311,0.4255350624414168,0.5284750502180361,22.129458632784885,0.35286482022942606,9.903926402016153e-05,11.330108165740967
7,train,0.5550416197854732,,,,,9.861849601988383e-05,7.623782157897949
7,val,0.5860398214287553,0.4344692332928004,0.5278414110797438,19.903266778054412,0.3632201878829028,9.861849601988383e-05,11.110979318618774
8,train,0.5209341314891118,,,,,9.812276182268236e-05,7.589827299118042
8,val,0.5740078281771186,0.46189796163632374,0.5706332569442144,19.27412441560839,0.41043653247576556,9.812276182268236e-05,11.316852331161499
9,train,0.4901872581039814,,,,,9.755282581475769e-05,7.386989116668701
9,val,0.5649039972047865,0.4110335875416129,0.5216363835625533,20.5689109678095,0.39223174018997425,9.755282581475769e-05,11.255109071731567
10,train,0.4550243718840215,,,,,9.690956679612421e-05,7.18057918548584
10,val,0.5067244621873633,0.5236781694996817,0.6226584497750702,16.25851168908348,0.4892295311132856,9.690956679612421e-05,10.97868037223816
11,train,0.42211105923595965,,,,,9.619397662556433e-05,6.9954938888549805
11,val,0.5177372620880969,0.4205252185516164,0.5142949249454584,23.988613685693963,0.40555702031941904,9.619397662556433e-05,10.511252880096436
12,train,0.3988984372428055,,,,,9.540715869125406e-05,7.218892812728882
12,val,0.504673432353084,0.40528645289198656,0.520912676209175,22.406568269170794,0.3592008911700819,9.540715869125406e-05,11.275957345962524
13,train,0.36728684996070693,,,,,9.455032620941839e-05,7.424609184265137
13,val,0.5135484582807389,0.42710111889897323,0.5353014092074662,24.679495076852508,0.3902055812266698,9.455032620941839e-05,11.097668886184692
14,train,0.35640055879972665,,,,,9.362480035363986e-05,7.373913049697876
14,val,0.45163179760330296,0.4427690760499609,0.5533603476354959,21.628241861866815,0.392841106346923,9.362480035363986e-05,10.850646018981934
15,train,0.33379184672772266,,,,,9.263200821770461e-05,7.112651348114014
15,val,0.45640106508336914,0.44173887074340973,0.5514981268962548,22.669956516931812,0.44623405304066005,9.263200821770461e-05,10.797815799713135
16,train,0.29880727710199567,,,,,9.157348061512727e-05,7.101139545440674
16,val,0.3942902910928785,0.5436353353306823,0.6477984215769271,14.648048682137532,0.5125805464159259,9.157348061512727e-05,10.65062689781189
17,train,0.2866724427529288,,,,,9.045084971874738e-05,7.947411298751831
17,val,0.3923248615732954,0.5107097488726693,0.6106218910493046,12.906474365200065,0.509805897406003,9.045084971874738e-05,12.099254608154297
