epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,1.1139115064572065,,,,,0.0001,8.822772741317749
1,val,0.9469232025489308,0.002570986731183386,0.005010198843032127,65.59032303085998,0.035799746106950435,0.0001,12.345641613006592
2,train,0.8511068141698158,,,,,9.996145181203615e-05,7.848264217376709
2,val,0.8182350923033321,1.7733956418737489e-09,1.7733956418737489e-09,0.0,0.0,9.996145181203615e-05,11.612465381622314
3,train,0.7963118582029968,,,,,9.98458666866564e-05,8.121369361877441
3,val,0.7916424114719715,0.0018272311503074728,0.0034927192618970063,102.78001795965642,0.004235305717017117,9.98458666866564e-05,11.781720161437988
4,train,0.7687616433173503,,,,,9.965342284774632e-05,8.150709629058838
4,val,0.7648039954939699,0.0001497761576362982,0.0002981099196288461,81.8380469600868,0.0015927851130396638,9.965342284774632e-05,11.672818660736084
5,train,0.7262826509285517,,,,,9.938441702975689e-05,7.759631156921387
5,val,0.7149536165536619,0.06081748850975211,0.09571948016346195,45.15988862718842,0.060940183547858635,9.938441702975689e-05,10.924203395843506
6,train,0.6917270267451251,,,,,9.903926402016153e-05,7.844836950302124
6,val,0.704488653373095,0.1390985140362662,0.21132322756388758,38.871752869786874,0.13475668758350892,9.903926402016153e-05,11.640390634536743
7,train,0.659632010337634,,,,,9.861849601988383e-05,7.759436845779419
7,val,0.688305715330286,0.13351664337686503,0.20490959424739155,36.901275662513974,0.12616875611046247,9.861849601988383e-05,11.11833643913269
8,train,0.6293805837631226,,,,,9.812276182268236e-05,7.998944282531738
8,val,0.6345614849352369,0.19511910444941075,0.28587134546006904,33.17664319195775,0.15473683610680475,9.812276182268236e-05,11.603139638900757
9,train,0.6009796129332649,,,,,9.755282581475769e-05,7.505099058151245
9,val,0.6234047038882387,0.19444859289968525,0.2816736750629305,30.84593166663882,0.15882955647626482,9.755282581475769e-05,10.842570304870605
10,train,0.5811411665375755,,,,,9.690956679612421e-05,7.429241895675659
10,val,0.6381778592377706,0.19062837363722232,0.28416881012992984,34.549749876575426,0.1595050646724225,9.690956679612421e-05,11.180349111557007
11,train,0.564895445125395,,,,,9.619397662556433e-05,7.4189465045928955
11,val,0.6939653204936608,0.1539528948914768,0.23961160371756635,41.451076747297655,0.12595815602736177,9.619397662556433e-05,11.181497812271118
12,train,0.5326382819234137,,,,,9.540715869125406e-05,7.728837251663208
12,val,0.5724955746550965,0.21458094705039607,0.30559053591476537,27.435248333137555,0.18180909159647288,9.540715869125406e-05,11.253838539123535
13,train,0.5102524440682512,,,,,9.455032620941839e-05,7.728309154510498
13,val,0.5705706282378802,0.18343529675895806,0.2671099806870657,29.56877659138924,0.16048091491920677,9.455032620941839e-05,11.083874464035034
14,train,0.4878042184049927,,,,,9.362480035363986e-05,7.442578315734863
14,val,0.5377161569065518,0.23927343531678885,0.34328609189161885,27.307497180396304,0.18129889602365637,9.362480035363986e-05,10.842716455459595
15,train,0.4659486283943524,,,,,9.263200821770461e-05,8.205981969833374
15,val,0.6352269143060921,0.18130457668732375,0.27934548994287467,36.38543624274123,0.13853432063681545,9.263200821770461e-05,11.864646196365356
16,train,0.44977069801075165,,,,,9.157348061512727e-05,7.6505584716796875
16,val,0.5209487201341616,0.20694351621354237,0.29796633802545375,26.686018919802756,0.16263851907728546,9.157348061512727e-05,10.832140922546387
17,train,0.42412740161955526,,,,,9.045084971874738e-05,7.275052309036255
17,val,0.5291295889156317,0.20515840713125774,0.30204669730021405,30.656670143744677,0.17366162089982032,9.045084971874738e-05,10.835397720336914
18,train,0.4200890657738743,,,,,8.926584654403724e-05,7.624481201171875
18,val,0.5001442233721415,0.21064436322320398,0.2954230721304781,25.774905691193602,0.18654529269420875,8.926584654403724e-05,11.156833171844482
19,train,0.3956020451509036,,,,,8.802029828000156e-05,7.543207883834839
19,val,0.5149934077574536,0.20407594847851074,0.2958142710133241,25.651468889713076,0.1665179660339321,8.802029828000156e-05,10.821178674697876
20,train,0.3913539331353288,,,,,8.671612547178429e-05,7.524399757385254
20,val,0.49694131363451094,0.23028189034607166,0.32862505245094115,25.330717297004337,0.18147947045469584,8.671612547178429e-05,10.870558738708496
21,train,0.3639125136228708,,,,,8.535533905932738e-05,7.309818267822266
21,val,0.529332638176438,0.1676651917816791,0.23494354348358262,30.853190969556355,0.16833894947952777,8.535533905932738e-05,11.21225619316101
22,train,0.35241318275446226,,,,,8.39400372766471e-05,8.229915142059326
