epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,0.7993077125629233,,,,,0.0001,54.22505259513855
1,val,0.6759034235114805,0.4790779814784848,0.597956802269364,20.39483173455204,0.33352135102136443,0.0001,71.02063989639282
2,train,0.5362276237437179,,,,,9.996145181203615e-05,50.330318212509155
2,val,0.5300350898099178,0.5553749419177972,0.6732356576279046,17.10243989203463,0.4123210677953714,9.996145181203615e-05,65.67476081848145
3,train,0.4024549562504838,,,,,9.98458666866564e-05,50.24203681945801
3,val,0.5403627514067592,0.4419331397856823,0.550009043316005,21.698876665711474,0.3379241126392489,9.98458666866564e-05,65.26369786262512
4,train,0.30916860063648754,,,,,9.965342284774632e-05,50.20614814758301
4,val,0.40312768890248146,0.6113733341968718,0.7248251885012973,14.794979542465924,0.4709297038395268,9.965342284774632e-05,65.08732032775879
5,train,0.24356223657810488,,,,,9.938441702975689e-05,50.42571687698364
5,val,0.4084235165979484,0.5934301773733693,0.6984928238432517,16.326060324865896,0.48768703948858283,9.938441702975689e-05,65.25837349891663
6,train,0.20669461971554676,,,,,9.903926402016153e-05,50.57384443283081
6,val,0.3580989399774175,0.6044443301841497,0.7148037624455268,15.015820176407649,0.5077706020910964,9.903926402016153e-05,65.42435503005981
7,train,0.18373126297689682,,,,,9.861849601988383e-05,50.804389238357544
7,val,0.327752788475802,0.6333326454845167,0.7381932361261739,12.500437019067098,0.5445521013468836,9.861849601988383e-05,65.440833568573
8,train,0.15306813656950796,,,,,9.812276182268236e-05,50.950350522994995
8,val,0.3214867655609804,0.6301783935230303,0.7383672689271268,13.957506493381414,0.5281490134919952,9.812276182268236e-05,65.65222501754761
9,train,0.13470522977786356,,,,,9.755282581475769e-05,50.47061014175415
9,val,0.2839277641287128,0.6670641321352714,0.7684018438886552,12.095188781958079,0.5796485650357683,9.755282581475769e-05,65.38779306411743
10,train,0.12626492545924373,,,,,9.690956679612421e-05,50.31049084663391
10,val,0.33809692759826343,0.630930348806019,0.7351473380962473,13.26213265110868,0.5638563107415124,9.690956679612421e-05,65.16778945922852
11,train,0.11621795915192067,,,,,9.619397662556433e-05,50.21710252761841
11,val,0.3464403581898961,0.6344072515457554,0.7339121707224061,14.66356921468436,0.5571793557979743,9.619397662556433e-05,65.04956340789795
12,train,0.10928764624635601,,,,,9.540715869125406e-05,50.89588809013367
12,val,0.34703831068423957,0.6125103408569664,0.713915733564322,13.539293050058951,0.5455337123442152,9.540715869125406e-05,65.98461103439331
13,train,0.09938363051614282,,,,,9.455032620941839e-05,49.75842022895813
13,val,0.32765239310785405,0.64139790484806,0.7395382328486977,13.254814485415498,0.5754853390335355,9.455032620941839e-05,64.87665581703186
14,train,0.09607446103788621,,,,,9.362480035363986e-05,49.131253719329834
14,val,0.2965360215373795,0.6731861566593338,0.7732986861669016,11.993575522506761,0.6017512267675731,9.362480035363986e-05,63.95292806625366
15,train,0.09296079529397315,,,,,9.263200821770461e-05,49.74456596374512
15,val,0.2972045520796745,0.6523818130233118,0.7531433416489155,11.963768580803421,0.5867645238873173,9.263200821770461e-05,64.4805326461792
16,train,0.08290821019997144,,,,,9.157348061512727e-05,50.81310248374939
16,val,0.3264182933567025,0.6469225211224539,0.7419205671108424,13.315902186075272,0.578024709055374,9.157348061512727e-05,65.72549867630005
17,train,0.08389250832563006,,,,,9.045084971874738e-05,50.690412759780884
17,val,0.25791136575651785,0.6969049383566572,0.7965300448490075,9.867450582218774,0.6231801687656101,9.045084971874738e-05,65.85071182250977
18,train,0.08271922044580875,,,,,8.926584654403724e-05,50.29681205749512
18,val,0.28985826350435084,0.67198426731176,0.7720827905419617,11.489584081334831,0.601960955385918,8.926584654403724e-05,65.25985026359558
19,train,0.07457655804783273,,,,,8.802029828000156e-05,50.73349070549011
19,val,0.2618796398869224,0.6999060182810908,0.7974959052386901,9.607624591526331,0.6256352794334322,8.802029828000156e-05,65.51689386367798
20,train,0.07161476180873104,,,,,8.671612547178429e-05,50.63108205795288
