epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,0.7038422150866975,,,,,0.0001,43.05339336395264
1,val,0.5625282397834204,0.6628209630842709,0.7652876365414676,12.988807798203158,0.5429798950526696,0.0001,57.433618783950806
2,train,0.45503413591365266,,,,,9.996145181203615e-05,40.38615965843201
2,val,0.4539682971961182,0.6985055258763688,0.8007853737899235,11.776082665210927,0.5939030854228298,9.996145181203615e-05,53.805201053619385
3,train,0.3524136011819617,,,,,9.98458666866564e-05,40.28285551071167
3,val,0.3570782182250826,0.7479600765875407,0.8395877297435488,8.794440783807639,0.6678367327715528,9.98458666866564e-05,53.54459857940674
4,train,0.27901802161920547,,,,,9.965342284774632e-05,40.598628282547
4,val,0.3457065591034496,0.7354903458750673,0.8235194968325751,9.302727518406595,0.680517788416394,9.965342284774632e-05,53.912771463394165
5,train,0.22670858223578894,,,,,9.938441702975689e-05,40.1247673034668
5,val,0.2960268045945834,0.7546292543411255,0.8420665078929492,8.789364097044853,0.7029208782511328,9.938441702975689e-05,53.58308029174805
6,train,0.19064496852079374,,,,,9.903926402016153e-05,40.39585065841675
6,val,0.2611806395874229,0.7647562138736248,0.849159129176821,8.380790732937287,0.711196556602169,9.903926402016153e-05,53.43969988822937
7,train,0.15979404442921916,,,,,9.861849601988383e-05,40.44232535362244
7,val,0.2654430461933963,0.749687610566616,0.8338499159685203,9.213941551062826,0.707667404851921,9.861849601988383e-05,53.47816777229309
8,train,0.13869690856243522,,,,,9.812276182268236e-05,40.43499779701233
8,val,0.2232971321991695,0.7891670162124294,0.8672809226172311,7.207585975703277,0.7417500371575945,9.812276182268236e-05,53.49829316139221
9,train,0.1267422268011279,,,,,9.755282581475769e-05,40.189743995666504
9,val,0.21794483930833877,0.7767794668674469,0.8584780437605721,7.85490837001183,0.7297875875133795,9.755282581475769e-05,53.330199003219604
10,train,0.11038426251568421,,,,,9.690956679612421e-05,40.27418231964111
10,val,0.2715601174154162,0.7391864163002797,0.8206170063998018,9.83048065568758,0.7145497637964553,9.690956679612421e-05,53.415536880493164
11,train,0.10327181056530224,,,,,9.619397662556433e-05,40.49942588806152
11,val,0.22648504162774719,0.7814381778240204,0.8627327874302864,8.256445571031259,0.7344972328922548,9.619397662556433e-05,53.611243724823
12,train,0.09532870895986859,,,,,9.540715869125406e-05,40.106001138687134
12,val,0.24224766768434997,0.7620098731347493,0.8428761663181441,8.827167428473983,0.733276930072258,9.540715869125406e-05,53.53563666343689
13,train,0.08644669156506228,,,,,9.455032620941839e-05,40.40851402282715
13,val,0.20477210436563764,0.7832642418997628,0.8616182982921601,8.080562490007795,0.7471184348036328,9.455032620941839e-05,53.60550880432129
14,train,0.08180794005367818,,,,,9.362480035363986e-05,40.11372089385986
14,val,0.2019022813460733,0.7950186910373824,0.8717593491077423,7.80611574205597,0.7590069889227846,9.362480035363986e-05,54.073168992996216
15,train,0.07820013694884191,,,,,9.263200821770461e-05,40.08334422111511
15,val,0.24478076547918354,0.7562648322167141,0.8377572328650525,9.59541865592768,0.7349900817059313,9.263200821770461e-05,53.325708866119385
16,train,0.07380309156225215,,,,,9.157348061512727e-05,40.17349171638489
16,val,0.22205073031259695,0.7837869115173817,0.8630425396774496,8.20401558741068,0.7537027937241917,9.157348061512727e-05,53.6389741897583
17,train,0.06881134603453598,,,,,9.045084971874738e-05,40.22775053977966
17,val,0.20486860495314377,0.7840585659657205,0.8620852436338152,8.285976295182811,0.7503473678836804,9.045084971874738e-05,53.36125063896179
18,train,0.06245528015375791,,,,,8.926584654403724e-05,42.51319742202759
18,val,0.19066267186862593,0.7937046319246293,0.8691455189670835,7.182890412863027,0.7674238232564334,8.926584654403724e-05,55.65140628814697
19,train,0.05977250016275257,,,,,8.802029828000156e-05,40.58360171318054
19,val,0.19859568842796868,0.7969714200922421,0.8718560855303492,7.110941294210648,0.7681073502992287,8.802029828000156e-05,53.727187156677246
20,train,0.05818517438668773,,,,,8.671612547178429e-05,40.13400673866272
20,val,0.18955190621289728,0.805508677554982,0.8795020714402199,8.233697124095567,0.7723926566461579,8.671612547178429e-05,53.395538568496704
21,train,0.0562009372338346,,,,,8.535533905932738e-05,40.43631362915039
21,val,0.21085481413750237,0.7935081299926553,0.869542070371764,7.061704090526812,0.7658090428638185,8.535533905932738e-05,53.6891872882843
22,train,0.057834391450236035,,,,,8.39400372766471e-05,40.094482421875
22,val,0.19735706914015996,0.7992243742304189,0.8730986290744372,6.741718742358584,0.7716357175543079,8.39400372766471e-05,53.25742554664612
23,train,0.05326928126284615,,,,,8.247240241650919e-05,40.25930070877075
23,val,0.1798722988602081,0.8099423419151988,0.8833256108420235,6.6844915222041745,0.7752161540048637,8.247240241650919e-05,53.293036222457886
24,train,0.05275892801531712,,,,,8.095469746549169e-05,40.41264057159424
24,val,0.20695045566366566,0.7885475367307663,0.8634054301040514,6.38345152828344,0.762287932545035,8.095469746549169e-05,53.45319700241089
25,train,0.04674108721959738,,,,,7.938926261462365e-05,39.52894330024719
25,val,0.20092082770013894,0.7995020747184753,0.8726617678999901,6.758631204541431,0.7754995664607531,7.938926261462365e-05,52.76520895957947
26,train,0.048149525730861724,,,,,7.77785116509801e-05,40.08873510360718
26,val,0.19505170760776408,0.8073320702782699,0.880305856679167,6.956244644145584,0.7787746350717873,7.77785116509801e-05,53.31555128097534
