epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,0.9249037654761781,,,,,0.0001,53.070353746414185
1,val,0.7725958306495457,0.3454999953427119,0.46605912395188487,35.976278663039565,0.18200625182728075,0.0001,72.79283499717712
2,train,0.6736372529700623,,,,,9.996145181203615e-05,47.89175009727478
2,val,0.6294373998903249,0.4120932012028039,0.5319064546977097,24.17628554420241,0.29427868634652166,9.996145181203615e-05,65.51335000991821
3,train,0.5451189934309498,,,,,9.98458666866564e-05,47.680777072906494
3,val,0.5223053403096656,0.4881233400858399,0.5928388927073788,16.510939479823428,0.3715429969141842,9.98458666866564e-05,64.39593124389648
4,train,0.4297413383615942,,,,,9.965342284774632e-05,48.84834933280945
4,val,0.4942360237036666,0.45010232589597166,0.5474493289233308,20.59827812375844,0.3876440643391249,9.965342284774632e-05,65.3692786693573
5,train,0.3423658983041624,,,,,9.938441702975689e-05,48.48023772239685
5,val,0.4045563328756045,0.5141211268727531,0.6188417301669861,18.28735232522523,0.4378963148787664,9.938441702975689e-05,65.553382396698
6,train,0.26714243037952057,,,,,9.903926402016153e-05,48.23356604576111
6,val,0.407466691895707,0.4731227339103241,0.5628744786660944,18.58240002548224,0.42078868515896245,9.903926402016153e-05,64.87874698638916
7,train,0.2211414135103292,,,,,9.861849601988383e-05,48.032912492752075
7,val,0.3482184450920314,0.53468001844297,0.6349571586146493,17.473716258001392,0.49783274770223546,9.861849601988383e-05,65.65567803382874
8,train,0.17854053153292743,,,,,9.812276182268236e-05,47.95338439941406
8,val,0.33640890897136844,0.5287129427131009,0.6245054190095665,16.915800760980478,0.4910027208425213,9.812276182268236e-05,65.5490894317627
9,train,0.1461151824316586,,,,,9.755282581475769e-05,49.194719076156616
9,val,0.32411983933759064,0.5430439355701762,0.6383009289493147,17.90867482840359,0.5210541296175988,9.755282581475769e-05,66.95191240310669
10,train,0.12990271135180465,,,,,9.690956679612421e-05,49.13777756690979
10,val,0.3084873550762869,0.560103121540402,0.6528070792157868,14.519915978620064,0.5299709760139631,9.690956679612421e-05,66.84011936187744
11,train,0.1067508376642699,,,,,9.619397662556433e-05,48.481170654296875
11,val,0.2747460783242363,0.5876434690851664,0.6806576263911012,13.008079646122066,0.5617235329360628,9.619397662556433e-05,66.18223357200623
12,train,0.09863191610795737,,,,,9.540715869125406e-05,49.058375120162964
12,val,0.28116175117966247,0.5752653664121392,0.668561213938458,13.043178683187008,0.5539163319974513,9.540715869125406e-05,66.94704222679138
13,train,0.09002745559877205,,,,,9.455032620941839e-05,48.61262059211731
13,val,0.29627866914419276,0.5535468294562459,0.6426163721380391,12.187808920390372,0.5164528301901955,9.455032620941839e-05,65.25527429580688
14,train,0.08006165900104706,,,,,9.362480035363986e-05,48.51176381111145
14,val,0.2977968065297767,0.5638219101490869,0.6544679914656109,14.056306647414454,0.5475788570800744,9.362480035363986e-05,66.38623785972595
15,train,0.08122364887460497,,,,,9.263200821770461e-05,49.216702699661255
15,val,0.34001022818153853,0.5151969173760156,0.5992558161442963,18.890293273165785,0.5021835485222865,9.263200821770461e-05,66.87631177902222
16,train,0.07146544776088531,,,,,9.157348061512727e-05,48.47505474090576
16,val,0.2749192989444079,0.5963476073450794,0.6831995946877807,13.306859368195239,0.5808184578839835,9.157348061512727e-05,65.90712666511536
17,train,0.06887848641580945,,,,,9.045084971874738e-05,48.46828818321228
17,val,0.2927109243730976,0.578157160749426,0.6592937870324687,13.692173035159186,0.5658783234976187,9.045084971874738e-05,66.01291990280151
18,train,0.0617924996350621,,,,,8.926584654403724e-05,48.317720890045166
18,val,0.276593728700321,0.5967664202541634,0.6868569442306398,12.975619628013325,0.5891899848381226,8.926584654403724e-05,66.4462022781372
19,train,0.05984622975627903,,,,,8.802029828000156e-05,48.43733072280884
19,val,0.24730746863435393,0.6195085285007603,0.7065362178104799,12.72228343988734,0.6011557929759628,8.802029828000156e-05,66.20011401176453
20,train,0.05579894740535928,,,,,8.671612547178429e-05,48.81780552864075
20,val,0.30672623641686897,0.5726311843955588,0.6506682135691555,15.569402136535013,0.5683428658637925,8.671612547178429e-05,65.68192625045776
21,train,0.05915794013497589,,,,,8.535533905932738e-05,48.056912422180176
21,val,0.3146153725785752,0.5673770884096889,0.6491216234078873,14.367300726421247,0.5594190804991714,8.535533905932738e-05,65.57744574546814
22,train,0.05356717462784169,,,,,8.39400372766471e-05,49.27151036262512
22,val,0.2520314096485915,0.6291977793563137,0.7172248817780132,12.75015692562857,0.6145890550187642,8.39400372766471e-05,67.79609727859497
23,train,0.05211619468597935,,,,,8.247240241650919e-05,48.456825494766235
23,val,0.27440176135669014,0.6013138861494126,0.6903863647842726,13.862297626897483,0.5843879571925985,8.247240241650919e-05,65.1242425441742
24,train,0.05250297746645893,,,,,8.095469746549169e-05,48.62158751487732
24,val,0.29924558901215254,0.5678992029365492,0.6520585624923175,13.031579576972508,0.5510576540223941,8.095469746549169e-05,66.19024658203125
25,train,0.049585637987212536,,,,,7.938926261462365e-05,48.64095330238342
25,val,0.23953531556954122,0.6351441816267301,0.7218039768420529,11.313188043242565,0.6165142868079988,7.938926261462365e-05,65.7836902141571
26,train,0.05657532405397431,,,,,7.77785116509801e-05,48.415088415145874
26,val,0.269906293947811,0.6175002103932999,0.7042485561661528,13.615874670644544,0.6031552648083766,7.77785116509801e-05,66.12253928184509
27,train,0.04468956423506814,,,,,7.612492823579744e-05,48.47183847427368
27,val,0.26961632903716337,0.6173861674021333,0.704608784155262,11.982823796023881,0.6019392355836786,7.612492823579744e-05,65.07644581794739
28,train,0.04236741925385777,,,,,7.443106207484775e-05,48.44529366493225
28,val,0.25564420526362447,0.6260432989425097,0.7129967988615141,12.563159572804151,0.6112549270663284,7.443106207484775e-05,66.48089265823364
29,train,0.03988131932344456,,,,,7.269952498697733e-05,48.32598304748535
29,val,0.2596035580316635,0.625039916505523,0.7096371979048398,12.799814555108359,0.6082098360624855,7.269952498697733e-05,65.22469186782837
30,train,0.04391024619565364,,,,,7.093298687687139e-05,48.47192573547363
30,val,0.30257432143369767,0.5791459566058702,0.6604049715432455,15.516980972449788,0.5774423830860551,7.093298687687139e-05,66.12215971946716
31,train,0.04482977507098525,,,,,6.913417161825447e-05,48.74406027793884
31,val,0.2773417055198591,0.5963567342808107,0.6832467920898317,14.32910996518108,0.5872694125315873,6.913417161825447e-05,66.31929469108582
32,train,0.038142694926551986,,,,,6.730585285387463e-05,49.31077313423157
32,val,0.2985651064204843,0.5948702387374517,0.6806187849916977,14.47280703647928,0.5876568469170266,6.730585285387463e-05,66.8415675163269
33,train,0.037415925270919866,,,,,6.545084971874736e-05,48.545411348342896
33,val,0.28002404162328537,0.6133885071820832,0.6945213137314662,13.509745403744889,0.6014995553913093,6.545084971874736e-05,66.435471534729
34,train,0.036115692455757534,,,,,6.35720224932537e-05,49.432596921920776
34,val,0.2934807614002326,0.6024945142859645,0.6816336849594075,12.285170227591252,0.5906005627657399,6.35720224932537e-05,67.07595729827881
35,train,0.03731377197910847,,,,,6.167226819279526e-05,48.36288046836853
35,val,0.3112544601808672,0.5804943325097648,0.6638249132587947,15.740543030110397,0.5680865588099719,6.167226819279526e-05,65.1440737247467
36,train,0.03631837443725949,,,,,5.97545161008064e-05,48.791545391082764
36,val,0.28078041141980314,0.6175066541525157,0.7009571832924132,13.278982761867939,0.6016224037652622,5.97545161008064e-05,66.37368750572205
37,train,0.0362313846050657,,,,,5.782172325201153e-05,48.743178367614746
37,val,0.24632687530901334,0.6317063792258343,0.7172240439880997,11.601155193592549,0.610665634716083,5.782172325201153e-05,66.1601049900055
38,train,0.03804689436408487,,,,,5.587686987289187e-05,48.72686696052551
38,val,0.2838086782457077,0.5987792440039706,0.6795431256738034,15.501353862653904,0.5863062675020291,5.587686987289187e-05,66.1375470161438
39,train,0.034423864268517575,,,,,5.392295478639223e-05,49.032264709472656
39,val,0.2864558487109942,0.5952225193721221,0.6756254275572628,10.950858363824032,0.5785629901984425,5.392295478639223e-05,66.82850527763367
40,train,0.031718357719765895,,,,,5.196299078795341e-05,48.354063510894775
40,val,0.23726909083046324,0.6393570332803444,0.7258241940282347,10.555461942011837,0.6218082916207881,5.196299078795341e-05,65.84995365142822
41,train,0.029996588129036533,,,,,4.999999999999998e-05,48.29005813598633
41,val,0.2602558369505895,0.6290442674011913,0.7133594048655613,11.575754067862961,0.6132171443921677,4.999999999999998e-05,65.38000774383545
42,train,0.02974730575735641,,,,,4.8037009212046566e-05,48.739460706710815
42,val,0.3010620592901968,0.6014957211662528,0.6848384891942242,12.130591840641074,0.5908464323102532,4.8037009212046566e-05,66.21532344818115
43,train,0.02844502821754608,,,,,4.6077045213607746e-05,48.321783781051636
43,val,0.2654535933410468,0.6341455026609959,0.7173486427906618,10.973655214899031,0.6242183153997689,4.6077045213607746e-05,65.87839984893799
